at epoch 0:{'loss': 0.4505862593650818, 'accuracy': 0.7819482088088989, 'auc': 0.8674633502960205, 'val_loss': 1.960809350013733, 'val_accuracy': 0.7825899720191956, 'val_auc': 0.8679584264755249, 'lr': 0.001225}

at epoch 1:{'loss': 0.4505162537097931, 'accuracy': 0.7819756865501404, 'auc': 0.8674997091293335, 'val_loss': 1.4179548025131226, 'val_accuracy': 0.7833790183067322, 'val_auc': 0.8689188361167908, 'lr': 0.001225}

at epoch 2:{'loss': 0.45038971304893494, 'accuracy': 0.7820550203323364, 'auc': 0.8675966858863831, 'val_loss': 1.2178767919540405, 'val_accuracy': 0.7827889919281006, 'val_auc': 0.8683191537857056, 'lr': 0.001225}

at epoch 3:{'loss': 0.4501129984855652, 'accuracy': 0.7822166085243225, 'auc': 0.867762565612793, 'val_loss': 2.0179951190948486, 'val_accuracy': 0.7818400263786316, 'val_auc': 0.8678000569343567, 'lr': 0.001225}

at epoch 4:{'loss': 0.4500184953212738, 'accuracy': 0.7823876142501831, 'auc': 0.86783367395401, 'val_loss': 1.3040915727615356, 'val_accuracy': 0.7831810116767883, 'val_auc': 0.8687174916267395, 'lr': 0.001225}

at epoch 5:{'loss': 0.4498128890991211, 'accuracy': 0.7824704051017761, 'auc': 0.8679662346839905, 'val_loss': 0.5109033584594727, 'val_accuracy': 0.782837986946106, 'val_auc': 0.8683043122291565, 'lr': 0.001225}

at epoch 6:{'loss': 0.4497472047805786, 'accuracy': 0.7824432849884033, 'auc': 0.8679931163787842, 'val_loss': 0.45760905742645264, 'val_accuracy': 0.782039999961853, 'val_auc': 0.8689409494400024, 'lr': 0.001225}

at epoch 7:{'loss': 0.44948244094848633, 'accuracy': 0.7825946807861328, 'auc': 0.8681788444519043, 'val_loss': 0.6142553091049194, 'val_accuracy': 0.782899022102356, 'val_auc': 0.8680106997489929, 'lr': 0.001225}

at epoch 8:{'loss': 0.44930943846702576, 'accuracy': 0.782666802406311, 'auc': 0.8682851195335388, 'val_loss': 1.1263560056686401, 'val_accuracy': 0.7832599878311157, 'val_auc': 0.8688548803329468, 'lr': 0.001225}

at epoch 9:{'loss': 0.44902950525283813, 'accuracy': 0.7828844785690308, 'auc': 0.8684658408164978, 'val_loss': 0.47648075222969055, 'val_accuracy': 0.7831140160560608, 'val_auc': 0.8684341311454773, 'lr': 0.001225}

at epoch 10:{'loss': 0.44890710711479187, 'accuracy': 0.7829809188842773, 'auc': 0.8685489296913147, 'val_loss': 1.0446646213531494, 'val_accuracy': 0.7835209965705872, 'val_auc': 0.8687413334846497, 'lr': 0.001225}

at epoch 11:{'loss': 0.4488963484764099, 'accuracy': 0.7831959128379822, 'auc': 0.8685672879219055, 'val_loss': 0.9489076733589172, 'val_accuracy': 0.7832580208778381, 'val_auc': 0.8688694834709167, 'lr': 0.001225}

at epoch 12:{'loss': 0.4477531909942627, 'accuracy': 0.7837045788764954, 'auc': 0.8692847490310669, 'val_loss': 0.4478672742843628, 'val_accuracy': 0.784138023853302, 'val_auc': 0.8695263862609863, 'lr': 0.0008575}

at epoch 13:{'loss': 0.44760140776634216, 'accuracy': 0.7838091850280762, 'auc': 0.8694080710411072, 'val_loss': 0.47915494441986084, 'val_accuracy': 0.7835739850997925, 'val_auc': 0.8692708611488342, 'lr': 0.0008575}

at epoch 14:{'loss': 0.44753503799438477, 'accuracy': 0.783804178237915, 'auc': 0.8694148063659668, 'val_loss': 5.809971332550049, 'val_accuracy': 0.7838929891586304, 'val_auc': 0.8693828582763672, 'lr': 0.0008575}

at epoch 15:{'loss': 0.44733425974845886, 'accuracy': 0.783983588218689, 'auc': 0.8695585131645203, 'val_loss': 0.4478090703487396, 'val_accuracy': 0.7839570045471191, 'val_auc': 0.8693788051605225, 'lr': 0.0008575}

at epoch 16:{'loss': 0.4471690356731415, 'accuracy': 0.7840884923934937, 'auc': 0.8696631193161011, 'val_loss': 6.454960346221924, 'val_accuracy': 0.783843994140625, 'val_auc': 0.8691427707672119, 'lr': 0.0008575}

at epoch 17:{'loss': 0.44725120067596436, 'accuracy': 0.784014105796814, 'auc': 0.8696157932281494, 'val_loss': 4.701329231262207, 'val_accuracy': 0.7835569977760315, 'val_auc': 0.8690963983535767, 'lr': 0.0008575}

at epoch 18:{'loss': 0.44704359769821167, 'accuracy': 0.784132719039917, 'auc': 0.8697437047958374, 'val_loss': 5.850663661956787, 'val_accuracy': 0.7836170196533203, 'val_auc': 0.8693100810050964, 'lr': 0.0008575}

at epoch 19:{'loss': 0.44686970114707947, 'accuracy': 0.7842803001403809, 'auc': 0.8698577284812927, 'val_loss': 588747.625, 'val_accuracy': 0.7838850021362305, 'val_auc': 0.8693023920059204, 'lr': 0.0008575}

at epoch 20:{'loss': 0.4467778503894806, 'accuracy': 0.7844064831733704, 'auc': 0.8699193000793457, 'val_loss': 46587.47265625, 'val_accuracy': 0.7841280102729797, 'val_auc': 0.8692911863327026, 'lr': 0.0008575}

at epoch 21:{'loss': 0.44671159982681274, 'accuracy': 0.7842174768447876, 'auc': 0.8699468970298767, 'val_loss': 34991.55078125, 'val_accuracy': 0.7832450270652771, 'val_auc': 0.8693898320198059, 'lr': 0.0008575}

at epoch 22:{'loss': 0.44660165905952454, 'accuracy': 0.7843847274780273, 'auc': 0.8700228333473206, 'val_loss': 0.754547119140625, 'val_accuracy': 0.7839409708976746, 'val_auc': 0.8694960474967957, 'lr': 0.0008575}

at epoch 23:{'loss': 0.4464402496814728, 'accuracy': 0.784434974193573, 'auc': 0.8701213598251343, 'val_loss': 0.7452523708343506, 'val_accuracy': 0.7841219902038574, 'val_auc': 0.869472086429596, 'lr': 0.0008575}

at epoch 24:{'loss': 0.4462035000324249, 'accuracy': 0.7847267985343933, 'auc': 0.8702804446220398, 'val_loss': 104896.2578125, 'val_accuracy': 0.7839229702949524, 'val_auc': 0.8694484829902649, 'lr': 0.0008575}

at epoch 25:{'loss': 0.44620585441589355, 'accuracy': 0.7846395969390869, 'auc': 0.870287299156189, 'val_loss': 77447.953125, 'val_accuracy': 0.7842950224876404, 'val_auc': 0.8699308037757874, 'lr': 0.0008575}

at epoch 26:{'loss': 0.4455294907093048, 'accuracy': 0.7851145267486572, 'auc': 0.8706966042518616, 'val_loss': 35297.73828125, 'val_accuracy': 0.784371018409729, 'val_auc': 0.8699096441268921, 'lr': 0.00060025003}

